subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
N Central,France,Provence-Alpes-Cรดte d'Azur,4,Holocene,Montadian,Cornille,6,Cornille 6,8978,8100,130,0.016,intcal13,Ly-413,4.9833,43.5167,NA,NA,NA,NA,PANCEA,NA
N Central,France,Provence-Alpes-Cรดte d'Azur,4,Holocene,Mesolithic,Cornille,6,Cornille 6,7876,7000,130,0.0186,intcal13,Ly-868,4.9833,43.5167,NA,NA,NA,NA,PANCEA,NA
N Central,France,NA,3,End Glacial,Romanellian.,Cornille,9a,Cornille 9,11796,10270,470,0.0458,intcal13,Ly-414,4.9833,43.5167,terre ch,NA,"Conv 14C, 536",NA,Leuven,NA
N Central,France,NA,1,LGM,Art,Cosquer,NA,Cosquer,28796,24730,300,0.0121,intcal13,GifA-9672,5.4511,43.2070,cheval 5 secteur 101 paroi charbon,?,"AMS, 4855","Onoratini,G and Renault-Miskovsky,J,Prรฉhistoire et environnement du paleolithique superieur du sud-est de la France,in: European late pleistocene, isotope stages 2 and 3: humans, their ecology & cultural adaptations,p131-174",Leuven,NA
N Central,France,NA,2,Late Pleniglacial,art,Cosquer,NA,Cosquer,17030,14050,180,0.0128,intcal13,GifA-96101,5.4511,43.2070,sing in the shape af a jellyfish,?,"AMS, 1795",Amormino V.L'Anthropologie 104 (2000) 373-381.,Leuven,NA
N Central,France,NA,1,LGM,Solutrean upper mรฉditerranรฉen,Cosquer,"""felin noir"", surface soil","Cosquer ""felin noir"", surface soil",22372,18530,190,0.0103,intcal13,GifA-92492,5.4511,43.2070,"bison noir nยฐ 1, seconde moitiรฉ de l'รฉchantillon Gif A-92419",?,"AMS, 2285",Amormino V. 2000. L'Anthropologie 104: 373.,Leuven,NA
N Central,France,NA,1,LGM,Solutrean upper mรฉditerranรฉen,Cosquer,"""felin noir"", surface soil","Cosquer ""felin noir"", surface soil",21712,18010,200,0.0111,intcal13,GifA-92419,5.4511,43.2070,"Bison noir nยฐ 1, 1ere moitiรฉ de l'รฉchantillon",?,"AMS, 2288",Amormino V. 2000. L'Anthropologie 104: 373.,Leuven,NA
N Central,France,NA,1,LGM,Solutrean upper mรฉditerranรฉen,Cosquer,"""felin noir"", surface soil","Cosquer ""felin noir"", surface soil",22672,18760,220,0.0117,intcal13,GifA-92422,5.4511,43.2070,Humid acid from the cheval nยฐ1,?,"AMS, 2290",Amormino V. 2000. L'Anthropologie 104: 373.,Leuven,NA
N Central,France,NA,1,LGM,Solutrean upper mรฉditerranรฉen,Cosquer,"""felin noir"", surface soil","Cosquer ""felin noir"", surface soil",23189,19200,240,0.0125,intcal13,GifA-92418,5.4511,43.2070,tรชte du fรฉlin,?,"AMS, 2137",Amormino V. 2000. L'Anthropologie 104: 373.,Leuven,NA
N Central,France,NA,1,LGM,Solutrean upper mรฉditerranรฉen,Cosquer,"""felin noir"", surface soil","Cosquer ""felin noir"", surface soil",22750,18840,245,0.013,intcal13,GifA-92416,5.4511,43.2070,"Horse  nยฐ 1, 1ere moitiรฉ de l'รฉchantillon",?,"AMS, 2287",Amormino V. 2000. L'Anthropologie 104: 373.,Leuven,NA
