subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
N Central,Spain,NE Spain,3,End Glacial,Upper Final Magdalenian,61,Molí del Salt,rank2,Molí del Salt rank2,13276,1180,NA,NA,148,0.125,46,0.039,3,0.003,0.331,NA,NA,NA,NA,NA,478,35.76,39.52,1.0534,41.4015,0.086
N Central,Spain,NE Spain,3,End Glacial,Upper Final Magdalenian,61,Molí del Salt,rank3,Molí del Salt rank3,12926,466,NA,NA,62,0.133,16,0.034,1,0.002,0.274,NA,NA,NA,NA,NA,478,35.76,39.52,1.0534,41.4015,0.099
Northeast,Italy,NE Italy,4,Holocene,Sauveterrian,109,Mondeval de Sora 1,US8,Mondeval de Sora 1 US8,NA,20000,8066,46,2601,0.130,875,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1000,101.32,114.36,12.2055,46.4594,NA
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),93,Monte Camulara,,Monte Camulara,NA,402,197,6,25,0.062,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1151,38.33,38.86,9.5820,44.6053,NA
Northeast,Italy,N Italy,4,Holocene,Mesolithic (Castelnovian/Sauveterrian),119,Monte Molinatico,2,Monte Molinatico 2,NA,259,223,19,36,0.139,0,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1128,36.69,37.11,9.8273,44.4684,NA
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),94,Monte Molinatico,3,Monte Molinatico 3,NA,24,12,5,7,0.292,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1128,36.69,37.11,9.8273,44.4684,NA
Northeast,Italy,N Italy,4,Holocene,Mesolithic (Castelnovian/Sauveterrian),119,Monte Molinatico,5,Monte Molinatico 5,NA,498,429,23,69,0.139,2,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1128,36.69,37.11,9.8273,44.4684,NA
N Central,France,Provence,3,End Glacial,Mesolithic,29,Mourre-Poussiou,3,Mourre-Poussiou 3,10240,NA,NA,NA,186,NA,45,NA,NA,NA,NA,66,59,0,0,1.000,8,0.58,11.64,4.9450,43.4364,NA
N Central,France,Provence,3,End Glacial,Epipaleolithic,29,Mourre-Poussiou,4,Mourre-Poussiou 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,1.000,8,0.58,11.64,4.9450,43.4364,NA
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Magdalenian,72,Nerja,"NM16-14, ",Nerja NM16-14,14140,6356,4177,64,1017,0.160,380,0.060,26,0.004,0.399,2259,540,1708,11,0.240,156,1.13,3.77,-3.8451,36.7623,0.100
Southwest,Spain,S&E Spain,1,LGM,Solutrean A,72,Nerja,NV10-9,Nerja NV10-9,25284,655,321,NA,236,0.360,5,0.008,4,0.006,0.038,7124,2498,4611,15,0.351,156,1.13,4.51,-3.8451,36.7623,0.353
Southwest,Spain,S&E Spain,1,LGM,Gravettian,72,Nerja,NV13-11,Nerja NV13-11,28475,718,289,NA,90,0.125,3,0.004,6,0.008,0.100,1053,599,492,2,0.549,156,1.13,4.51,-3.8451,36.7623,0.121
Southwest,Spain,S&E Spain,3,End Glacial,Epi-Magdalenian,72,Nerja,NV4,Nerja NV4,11574,2551,495,NA,326,0.128,62,0.024,43,0.017,0.322,2726,991,1892,12,0.344,156,1.13,2.16,-3.8451,36.7623,0.103
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Magdalenian,72,Nerja,NV7-5,Nerja NV7-5,14140,1697,609,54,206,0.121,50,0.029,61,0.036,0.539,2062,474,1578,10,0.231,156,1.13,3.77,-3.8451,36.7623,0.092
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Solutrean B-C,72,Nerja,NV 8,Nerja NV8,14076,439,750,NA,219,0.499,18,0.041,10,0.023,0.128,6394,2128,4250,16,0.334,156,1.13,3.77,-3.8451,36.7623,0.458
N Central,France,Languedoc,3,End Glacial,Mesolithic,20,Oullins,7a,Oullins 7a,10996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,4,10,0,0.286,258,88.00,107.31,4.4800,44.3000,NA
N Central,France,Languedoc,2,Late Pleniglacial,Upper Magdalenian/ Upper Salpetrian,20,Oullins,7b,Oullins 7b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,5,12,0,0.294,258,88.00,117.37,4.4800,44.3000,NA
N Central,France,Languedoc,1,LGM,Solutrean,20,Oullins,CCL1,Oullins CCL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,4,NA,0,NA,258,88.00,127.02,4.4800,44.3000,NA
N Central,France,Languedoc,1,LGM,Solutrean,20,Oullins,d,Oullins d,24166,4000,NA,NA,296,0.074,58,0.015,NA,NA,NA,483,19,NA,0,NA,258,88.00,127.02,4.4800,44.3000,0.060
N Central,France,Languedoc,1,LGM,Solutrean,20,Oullins,LCR1,Oullins LCR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,4,NA,0,NA,258,88.00,127.02,4.4800,44.3000,NA
Northeast,Italy,NE Italy,2,Late Pleniglacial,Epigravettian,110,Palù Echen,"6, 7","Palù Echen 6, 7",NA,1368,1139,13,86,0.063,12,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1159,95.79,232.38,11.1725,45.9156,NA
Northeast,Italy,NE Italy,2,Late Pleniglacial,Epigravettian,111,Palughetto,MN,Palughetto MN,NA,1461,1256,59,146,0.100,75,NA,NA,0.000,NA,NA,NA,NA,NA,NA,526,64.83,174.33,12.3981,46.1534,NA
